"","datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed"
"1","2011-01-01 00:00:00",1,0,0,1,9.84,14.395,81,0
"6","2011-01-01 05:00:00",1,0,0,2,9.84,12.88,75,6.0032
"8","2011-01-01 07:00:00",1,0,0,1,8.2,12.88,86,0
"13","2011-01-01 12:00:00",1,0,0,1,17.22,21.21,77,19.0012
"31","2011-01-02 07:00:00",1,0,0,2,16.4,20.455,76,12.998
"33","2011-01-02 09:00:00",1,0,0,2,15.58,19.695,76,15.0013
"36","2011-01-02 12:00:00",1,0,0,2,14.76,16.665,66,19.9995
"45","2011-01-02 21:00:00",1,0,0,1,10.66,11.365,44,22.0028
"46","2011-01-02 22:00:00",1,0,0,1,9.84,10.605,44,19.9995
"57","2011-01-03 11:00:00",1,0,1,1,8.2,9.09,40,22.0028
"59","2011-01-03 13:00:00",1,0,1,1,9.84,10.605,35,19.0012
"61","2011-01-03 15:00:00",1,0,1,1,10.66,12.12,30,16.9979
"68","2011-01-03 22:00:00",1,0,1,1,5.74,7.575,69,8.9981
"73","2011-01-04 04:00:00",1,0,1,1,5.74,9.09,63,6.0032
"82","2011-01-04 13:00:00",1,0,1,1,9.84,11.365,56,12.998
"84","2011-01-04 15:00:00",1,0,1,1,11.48,13.635,52,16.9979
"87","2011-01-04 18:00:00",1,0,1,1,10.66,12.88,48,12.998
"88","2011-01-04 19:00:00",1,0,1,1,9.84,12.88,48,7.0015
"89","2011-01-04 20:00:00",1,0,1,1,9.84,12.88,48,7.0015
"91","2011-01-04 22:00:00",1,0,1,1,9.02,12.88,64,6.0032
"96","2011-01-05 04:00:00",1,0,1,1,9.84,11.365,48,15.0013
"99","2011-01-05 07:00:00",1,0,1,1,7.38,9.09,43,12.998
"100","2011-01-05 08:00:00",1,0,1,1,8.2,9.09,40,19.9995
"101","2011-01-05 09:00:00",1,0,1,1,9.02,9.85,37,22.0028
"111","2011-01-05 19:00:00",1,0,1,1,9.84,12.88,38,7.0015
"113","2011-01-05 21:00:00",1,0,1,1,8.2,9.85,51,12.998
"120","2011-01-06 05:00:00",1,0,1,2,5.74,9.09,69,6.0032
"121","2011-01-06 06:00:00",1,0,1,2,5.74,8.335,63,7.0015
"126","2011-01-06 11:00:00",1,0,1,1,9.02,12.88,44,6.0032
"146","2011-01-07 08:00:00",1,0,1,1,8.2,9.85,51,16.9979
"162","2011-01-08 00:00:00",1,0,0,2,7.38,9.85,51,11.0014
"163","2011-01-08 01:00:00",1,0,0,2,7.38,10.605,55,6.0032
"175","2011-01-08 13:00:00",1,0,0,1,8.2,9.09,44,22.0028
"179","2011-01-08 17:00:00",1,0,0,1,6.56,6.06,37,36.9974
"185","2011-01-08 23:00:00",1,0,0,1,4.1,3.03,39,30.0026
"193","2011-01-09 07:00:00",1,0,0,1,3.28,4.545,53,12.998
"196","2011-01-09 10:00:00",1,0,0,1,5.74,5.305,43,26.0027
"199","2011-01-09 13:00:00",1,0,0,1,8.2,8.335,34,30.0026
"200","2011-01-09 14:00:00",1,0,0,1,9.02,9.09,32,31.0009
"212","2011-01-10 02:00:00",1,0,1,1,4.92,6.06,50,15.0013
"213","2011-01-10 03:00:00",1,0,1,1,4.92,6.06,50,15.0013
"217","2011-01-10 07:00:00",1,0,1,1,4.92,6.06,50,15.0013
"220","2011-01-10 10:00:00",1,0,1,2,5.74,6.06,50,19.9995
"228","2011-01-10 18:00:00",1,0,1,1,8.2,9.85,40,15.0013
