"","datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered","count"
"9303","2012-09-10 23:00:00",3,0,1,1,22.14,25.76,52,0,7,86,93
"4957","2011-11-19 14:00:00",4,0,0,1,17.22,21.21,32,19.9995,121,228,349
"8160","2012-07-01 08:00:00",3,0,0,1,31.98,37.12,62,7.0015,36,106,142
"7080","2012-04-13 08:00:00",2,0,1,1,15.58,19.695,46,11.0014,24,539,563
"3364","2011-08-10 01:00:00",3,0,1,1,29.52,33.335,54,12.998,7,10,17
"8251","2012-07-05 03:00:00",3,0,1,1,29.52,33.335,54,12.998,2,5,7
"63","2011-01-03 17:00:00",1,0,1,1,9.84,11.365,30,15.0013,11,146,157
"6441","2012-03-05 14:00:00",1,0,1,2,11.48,12.88,57,23.9994,13,115,128
"9905","2012-10-17 01:00:00",4,0,1,1,15.58,19.695,76,0,3,14,17
"3023","2011-07-14 20:00:00",3,0,1,1,28.7,31.82,42,15.0013,81,267,348
"4500","2011-10-19 13:00:00",4,0,1,2,22.14,25.76,94,19.0012,20,86,106
"9608","2012-10-04 16:00:00",4,0,1,1,28.7,32.575,54,19.0012,86,411,497
"10418","2012-11-19 11:00:00",4,0,1,2,15.58,19.695,66,16.9979,33,164,197
"10618","2012-12-08 19:00:00",4,0,0,1,16.4,20.455,87,0,34,212,246
"8070","2012-06-16 14:00:00",2,0,0,1,29.52,32.575,37,15.0013,264,309,573
"5297","2011-12-14 18:00:00",4,0,1,2,14.76,17.425,62,11.0014,11,379,390
"362","2011-01-16 13:00:00",1,0,0,1,10.66,11.365,35,19.9995,23,95,118
"4752","2011-11-11 01:00:00",4,1,0,1,13.12,15.15,57,22.0028,3,16,19
"1884","2011-05-05 09:00:00",2,0,1,1,18.86,22.725,44,19.0012,20,164,184
"1377","2011-04-03 05:00:00",2,0,0,1,11.48,13.635,65,15.0013,1,4,5
"5858","2012-01-19 06:00:00",1,0,1,1,4.92,6.82,54,11.0014,0,86,86
"6066","2012-02-08 23:00:00",1,0,1,2,9.84,12.12,87,11.0014,3,57,60
"1051","2011-03-08 07:00:00",1,0,1,1,7.38,9.85,64,8.9981,9,119,128
"93","2011-01-05 00:00:00",1,0,1,1,8.2,12.88,64,0,0,6,6
"7095","2012-04-13 23:00:00",2,0,1,1,17.22,21.21,62,6.0032,35,163,198
"1670","2011-04-15 11:00:00",2,1,0,1,21.32,25,55,12.998,41,95,136
"8496","2012-07-15 08:00:00",3,0,0,2,28.7,33.335,84,8.9981,37,96,133
"8390","2012-07-10 22:00:00",3,0,1,2,26.24,28.79,83,8.9981,14,125,139
"721","2011-02-13 09:00:00",1,0,0,2,9.84,11.365,60,15.0013,12,35,47
"8712","2012-08-05 08:00:00",3,0,0,1,31.16,36.365,66,22.0028,27,81,108
"5250","2011-12-12 19:00:00",4,0,1,1,11.48,15.15,61,6.0032,9,232,241
"5282","2011-12-14 03:00:00",4,0,1,1,11.48,15.91,65,0,0,3,3
